wine_id,wine_name,winery,year,wine_type,rating,num_reviews,price,country,region,style,style_body,style_acidity,intensity,sweetness,tannin
10787246,Media Legua Viñas Viejas Airén 2024,Bodegas y Viñedos Casa de la Nava,2024,White,4.2,123,14.0,España,Valdepeñas,Spanish Castilla Airén White,2,1,2.0,1.0,
1186952,Lusco Albariño 2024,Pazos de Lusco,2024,White,4.0,123,12.7,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
6717879,NVDE SBL 2021,Thunder Wine Makers,2021,White,4.0,123,23.8,España,Penedès,Sauvignon Blanc (España),3,3,3.0,1.0,
11508176,Leirana o Pradiño Albariño 2022,Forjas del Salnés,2022,White,4.2,123,55.9,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
10488113,Santa Maria de Martorelles 2019,Can Matons,2019,White,4.1,121,18.0,España,Alella,Spanish White,3,2,3.0,1.0,
12102336,Areas de Pedraneira Albariño 2023,Fento,2023,White,4.0,121,15.12,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
9599562,D'Mateo Colección Treixadura 2024,Atlantic Galician Wineries - AGW,2024,White,4.0,121,11.5,España,Ribeiro,Spanish White,3,2,3.0,1.0,
4522646,Blanco 2016,Conde de Los Andes,2016,White,4.1,121,79.0,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
4402123,Finca O Pereiro Albariño 2022,Albamar,2022,White,4.2,121,36.9,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
6869134,Chenin 2021,Terra Remota,2021,White,4.1,121,50.75,España,Empordà,Spanish White,3,2,3.0,1.0,
8441275,El Judas Viñas Viejas 2021,Barco del Corneta,2021,White,4.1,120,35.0,España,Rueda,Spanish White,3,2,3.0,1.0,
8667870,No T'enamoris de Mi 2024,Ca N'Estella,2024,White,4.1,118,9.8,España,Penedès,Spanish White,3,2,3.0,1.0,
12697922,Ma Doña Blanca 2023,Michelini i Mufatto,2023,White,4.1,118,34.05,España,Bierzo,Spanish White,3,2,3.0,1.0,
2580382,Rioja Blanco 2017,Contino,2017,White,4.0,118,79.0,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
6127175,Tino 2022,Manuel Formigo,2022,White,4.1,118,21.65,España,Ribeiro,Spanish White,3,2,3.0,1.0,
9973364,La Baraja Godello 2023,Bodegas Vilano,2023,White,4.2,118,23.25,España,Bierzo,Spanish Galicia Godello White,3,3,3.0,1.0,
